problem_id,concept_id,question_text,image_url,problem_type,choice_1,choice_2,choice_3,choice_4,correct_answer,difficulty
688,9,다음 중 '여섯'을 숫자로 바르게 쓴 것은?,,MCQ,4,5,6,7,3,-3
689,9,5보다 1 큰 수를 한글로 바르게 쓴 것은?,,MCQ,다섯,여섯,일곱,여덟,2,0
690,9,다음 중 '여섯'과 같은 수를 나타내지 않는 것은?,,MCQ,6,5+1,4+2,5+2,4,3
691,8,다음 중 '셋'을 숫자로 바르게 쓴 것은?,,MCQ,2,3,4,5,2,-3
692,8,"1, 2, 3, 4, 5 중 가장 큰 수는?",,MCQ,1,3,4,5,4,0
693,8,다음 중 1부터 5까지의 수에 속하지 않는 수는?,,MCQ,1,3,5,6,4,3
694,5,"3, 5, 1, 4 중에서 가장 작은 수는?",,MCQ,1,3,4,5,1,-3
695,5,"2, 4, 5, 7 중 4 바로 다음에 오는 수는?",,MCQ,2,5,6,7,2,0
696,5,"1, 2, 3, 4, 5, 6, 7, 8, 9를 순서대로 쓸 때 7과 9 사이에 오는 수는?",,MCQ,5,6,8,10,3,3
697,6,5보다 1만큼 큰 수는?,,MCQ,4,5,6,7,3,-3
698,6,8보다 1만큼 작은 수는?,,MCQ,6,7,9,10,2,0
699,6,4보다 1만큼 큰 수와 6보다 1만큼 작은 수는 같습니까?,,MCQ,같다,4보다 크다,6보다 크다,알 수 없다,1,3
700,7,3과 7 중 더 큰 수는?,,MCQ,3,7,같다,모름,2,-3
701,7,다음 중 5보다 작은 수는?,,MCQ,6,7,8,4,4,0
702,7,다음 수 중 6보다 크고 9보다 작은 수는?,,MCQ,5,6,8,9,3,3
703,821,다음 중 굴러가는 모양은?,,MCQ,상자 모양,공 모양,책 모양,사각형,2,-3
704,821,둥근기둥 모양의 특징으로 알맞은 것은?,,MCQ,어디에서나 잘 굴러간다,한쪽 방향으로만 굴러간다,굴러가지 않는다,평평한 면이 없다,2,0
705,821,다음 중 평평한 면과 둥근 면을 모두 가진 모양은?,,MCQ,상자,공,둥근기둥,종이,3,3
706,822,농구공과 가장 비슷한 모양은?,,MCQ,상자,공,둥근기둥,동전,2,-3
707,822,우유갑과 가장 비슷한 모양은?,,MCQ,상자,공,둥근기둥,책,1,0
708,822,다음 중 상자 모양과 같은 모양이 아닌 것은?,,MCQ,우유갑,동화책,야구공,휴지통,3,3
